location,coordinates.latitude,coordinates.longitude,unit,co,humidity,no2,o3,pm1,pm10,pm25,pressure,so2,temperature,um003,um005,um010,um025,um050,um100
"Kunshan, Suzhou, China",31.40484,120.90408,particles/cm³,,55.0,,,10.8,20.4,18.5,1004.43,,98.0,20.09,5.72,1.34,0.13,0.02,0.02
atelierYVF,22.290922,114.19941,mb,,60.0,,,3.3,5.7,4.8,1001.94,,93.0,11.94,2.54,0.33,0.03,0.01,0.0
TVA Connected Communities #3,35.991707,-83.89293,particles/cm³,,69.0,,,7.1,10.2,9.8,983.91,,75.0,13.27,3.7,0.62,0.03,0.0,0.0
Juarez casa,33.7174,117.90313,µg/m³,,61.0,,,10.3,17.0,15.3,1010.7,,79.0,18.49,5.34,1.08,0.06,0.02,0.01
Science Park Shenzhen,22.528564,113.94328,mb,,57.0,,,6.7,7.6,7.5,999.63,,100.0,44.74,4.4,0.16,0.01,0.0,0.0
Mong Kok,22.3225,114.16833333333334,µg/m³,646.8,,62.9,18.9,,14.7,8.3,,5.0,,,,,,,
North,22.496710000000004,114.12824,µg/m³,247.4,,13.2,49.3,,11.3,3.8,,0.7,,,,,,,
Sha Tin,22.37638888888889,114.18444444444444,µg/m³,,,8.2,54.6,,3.5,1.3,,1.6,,,,,,,
Central,22.281944444444445,114.15805555555558,µg/m³,274.9,,44.7,26.6,,11.0,8.2,,2.6,,,,,,,
Tseung Kwan O,22.317777777777778,114.25944444444444,µg/m³,145.6,,9.3,51.2,,10.0,2.4,,4.6,,,,,,,
Sham Shui Po,22.330277777777777,114.15916666666666,µg/m³,,,31.7,34.9,,6.7,3.2,,1.9,,,,,,,
Tuen Mun,22.391111111111112,113.97666666666667,µg/m³,510.1,,37.1,43.1,,13.0,9.0,,2.9,,,,,,,
Causeway Bay,22.279999999999998,114.18499999999999,µg/m³,352.7,,38.4,38.4,,24.6,15.0,,3.3,,,,,,,
Central/Western,22.285,114.14444444444443,µg/m³,,,23.9,46.6,,4.2,3.6,,2.6,,,,,,,
Eastern,22.282777777777778,114.21944444444446,µg/m³,,,23.7,53.4,,11.4,5.8,,0.9,,,,,,,
Tap Mun,22.471388888888892,114.36083333333333,µg/m³,473.8,,0.3,54.6,,6.5,1.5,,5.2,,,,,,,
Kwai Chung,22.357222222222223,114.12972222222223,µg/m³,,,34.3,36.1,,7.8,4.4,,0.0,,,,,,,
Beijing US Embassy,39.95,116.47,µg/m³,,,,,,,4.0,,,,,,,,,
Tsuen Wan,22.371666666666666,114.11444444444443,µg/m³,346.4,,24.7,37.0,,8.9,6.3,,4.0,,,,,,,
Guangzhou,23.12,113.32,µg/m³,,,,,,,-9999.0,,,,,,,,,
Kwun Tong,22.313333333333333,114.22472222222223,µg/m³,,,20.5,37.3,,7.0,3.7,,2.5,,,,,,,
Yuen Long,22.44527777777778,114.02277777777776,µg/m³,546.0,,22.6,41.9,,10.4,6.0,,4.8,,,,,,,
Tai Po,22.450833333333332,114.16444444444446,µg/m³,,,12.0,54.0,,2.7,1.6,,1.6,,,,,,,
Southern,22.247430000000005,114.16015,µg/m³,164.7,,16.3,46.7,,8.6,3.6,,1.4,,,,,,,
Shenyang,41.78351,123.424434,µg/m³,,,,,,,34.0,,,,,,,,,
Beijing,39.953352,116.466258,µg/m³,,,,0.035,,,4.0,,,,,,,,,
Gonzelez Home,33.71942,117.86623,µg/m³,,55.0,,,12.2,21.0,19.8,1011.42,,83.0,22.8,6.45,1.43,0.09,0.01,0.0
Paradise - Clark Roa,39.757861,121.607908,µg/m³,,,,0.051,,,7.6,,,,,,,,,
Shanghai,31.21,121.44,µg/m³,,,,,,,-9999.0,,,,,,,,,
White Springs Plant,30.426029,82.795356,ppm,,,,,,,,,0.0014,,,,,,,
Chengdu,30.63,104.07,µg/m³,,,,,,,49.0,,,,,,,,,
